"step","metric","n","mean","sd","min","max"
"100","count turtles","10","237.3","52.064","172","315"
"100","cc-percent","10","0.401","0.211","0.139","0.76"
"100","cd-percent","10","0.266","0.168","0.058","0.608"
"100","dc-percent","10","0.172","0.083","0.068","0.322"
"100","dd-percent","10","0.162","0.066","0.089","0.29"
"100","last100consist-ethno-percent","10","0.706","0.117","0.511","0.85"
"100","last100coop-percent","10","0.714","0.128","0.522","0.892"
"500","count turtles","10","1682.4","51.765","1578","1740"
"500","cc-percent","10","0.348","0.092","0.251","0.521"
"500","cd-percent","10","0.541","0.095","0.351","0.649"
"500","dc-percent","10","0.048","0.015","0.034","0.075"
"500","dd-percent","10","0.063","0.013","0.046","0.08"
"500","last100consist-ethno-percent","10","0.827","0.031","0.756","0.871"
"500","last100coop-percent","10","0.801","0.019","0.777","0.832"
"1000","count turtles","10","1647.9","22.942","1612","1676"
"1000","cc-percent","10","0.187","0.043","0.12","0.245"
"1000","cd-percent","10","0.708","0.046","0.661","0.784"
"1000","dc-percent","10","0.028","0.01","0.017","0.046"
"1000","dd-percent","10","0.076","0.012","0.061","0.102"
"1000","last100consist-ethno-percent","10","0.875","0.018","0.847","0.908"
"1000","last100coop-percent","10","0.777","0.015","0.757","0.8"
"1500","count turtles","10","1638.5","53.734","1559","1737"
"1500","cc-percent","10","0.144","0.028","0.095","0.197"
"1500","cd-percent","10","0.76","0.029","0.696","0.791"
"1500","dc-percent","10","0.023","0.006","0.015","0.034"
"1500","dd-percent","10","0.073","0.014","0.054","0.097"
"1500","last100consist-ethno-percent","10","0.893","0.013","0.869","0.911"
"1500","last100coop-percent","10","0.773","0.018","0.751","0.804"
"2000","count turtles","10","1626.5","41.213","1561","1678"
"2000","cc-percent","10","0.152","0.05","0.091","0.221"
"2000","cd-percent","10","0.75","0.058","0.676","0.828"
"2000","dc-percent","10","0.022","0.004","0.014","0.028"
"2000","dd-percent","10","0.076","0.019","0.053","0.118"
"2000","last100consist-ethno-percent","10","0.889","0.023","0.852","0.918"
"2000","last100coop-percent","10","0.769","0.019","0.74","0.795"
